Posted On,Size,Rent,No of Bedrooms,No of Bathrooms,Floor,Area Type,City,Condition of the House,Age of House (in Years),Overall Grade,Furnishing Status,Latitude,Longitude,Tenant Preferred,Point of Contact
20-06-22,350,4000,3,4.5,0,Super Area,Kolkata,Fair,41,10,Unfurnished,47.7183,-122.258,Bachelors/Family,Contact Owner
23-05-22,650,4000,4,1.5,2,Super Area,Bangalore,Fair,53,7,Unfurnished,47.6888,-122.199,Bachelors/Family,Contact Owner
04-06-22,250,4000,3,2.5,1,Super Area,Bangalore,Fair,19,10,Unfurnished,47.6868,-122.108,Bachelors/Family,Contact Owner
23-05-22,250,4000,3,1.5,3,Super Area,Bangalore,Fair,64,7,Unfurnished,47.7109,-122.311,Bachelors/Family,Contact Owner
27-05-22,100,4000,4,2,0,Super Area,Bangalore,Fair,67,7,Semi-Furnished,47.5331,-122.278,Bachelors/Family,Contact Owner
10-05-22,125,4000,3,2.5,2,Super Area,Delhi,Okay,51,7,Unfurnished,47.5901,-122.167,Bachelors/Family,Contact Owner
29-04-22,120,4000,6,1.75,3,Super Area,Delhi,Fair,64,7,Unfurnished,47.579,-122.39,Bachelors/Family,Contact Owner
19-06-22,90,4000,4,3.5,2,Super Area,Delhi,Fair,4,9,Unfurnished,47.6844,-122.016,Bachelors/Family,Contact Owner
22-06-22,400,4000,3,2.5,1,Super Area,Chennai,Fair,24,9,Unfurnished,47.5599,-122.121,Bachelors/Family,Contact Owner
06-07-22,300,4000,4,2.5,0,Super Area,Chennai,Fair,70,8,Unfurnished,47.7429,-122.285,Bachelors,Contact Owner
30-04-22,300,4000,4,2.5,0,Super Area,Hyderabad,Good,33,8,Unfurnished,47.467,-122.014,Bachelors/Family,Contact Owner
25-06-22,400,4000,4,2.5,0,Super Area,Hyderabad,Fair,14,9,Unfurnished,47.6799,-122.024,Bachelors/Family,Contact Owner
14-06-22,500,4000,3,1.75,0,Super Area,Hyderabad,Good,36,7,Unfurnished,47.3484,-122.505,Bachelors/Family,Contact Owner
10-06-22,490,4200,4,2.5,3,Super Area,Chennai,Fair,15,9,Semi-Furnished,47.448,-122.121,Bachelors/Family,Contact Owner
19-05-22,300,4300,3,1,0,Super Area,Bangalore,Fair,69,7,Unfurnished,47.7512,-122.329,Bachelors/Family,Contact Owner
06-05-22,450,4500,3,1.75,1,Super Area,Kolkata,Good,32,7,Unfurnished,47.2761,-122.152,Bachelors/Family,Contact Owner
16-06-22,450,4500,5,4,0,Super Area,Kolkata,Fair,35,10,Unfurnished,47.6489,-122.183,Bachelors/Family,Contact Owner
01-07-22,230,4500,4,1,3,Super Area,Kolkata,Fair,114,7,Unfurnished,47.6136,-122.303,Bachelors/Family,Contact Owner
29-06-22,750,4500,4,1.75,4,Super Area,Kolkata,Good,49,7,Furnished,47.3954,-122.206,Bachelors/Family,Contact Owner
31-05-22,475,4500,5,4.25,1,Super Area,Kolkata,Fair,19,10,Unfurnished,47.5954,-121.95,Bachelors/Family,Contact Owner
31-05-22,475,4500,5,2.75,1,Super Area,Mumbai,Excellent,68,7,Unfurnished,47.5728,-122.304,Bachelors/Family,Contact Owner
20-06-22,450,4500,4,2.5,0,Super Area,Bangalore,Fair,34,10,Semi-Furnished,47.7185,-122.114,Bachelors/Family,Contact Owner
27-05-22,600,4500,2,1.5,0,Super Area,Bangalore,Good,33,8,Unfurnished,47.6214,-122.153,Bachelors/Family,Contact Owner
04-06-22,600,4500,5,2.75,0,Super Area,Bangalore,Fair,95,8,Unfurnished,47.6416,-122.355,Bachelors/Family,Contact Owner
07-07-22,300,4500,3,2,1,Super Area,Bangalore,Excellent,109,7,Semi-Furnished,47.573,-122.383,Bachelors/Family,Contact Owner
20-06-22,200,4500,3,1,4,Super Area,Bangalore,Fair,98,6,Unfurnished,47.4623,-122.345,Bachelors/Family,Contact Owner
04-06-22,240,4500,5,1.75,3,Super Area,Delhi,Good,59,7,Unfurnished,47.5025,-122.142,Bachelors/Family,Contact Owner
29-04-22,400,4500,3,2.25,2,Super Area,Delhi,Good,44,8,Unfurnished,47.6383,-122.098,Bachelors/Family,Contact Owner
25-05-22,150,4500,4,1,0,Super Area,Chennai,Fair,71,6,Semi-Furnished,47.5185,-122.363,Bachelors/Family,Contact Owner
20-05-22,115,4500,3,1.5,1,Super Area,Chennai,Fair,60,7,Unfurnished,47.473,-122.328,Bachelors,Contact Owner
22-06-22,600,4500,2,1,1,Super Area,Chennai,Fair,92,7,Unfurnished,47.5333,-122.388,Bachelors/Family,Contact Owner
16-05-22,60,4500,3,1.75,1,Super Area,Hyderabad,Fair,90,7,Semi-Furnished,47.6779,-122.371,Bachelors/Family,Contact Owner
30-04-22,50,4500,3,1,3,Super Area,Hyderabad,Fair,74,7,Unfurnished,47.5362,-122.379,Bachelors/Family,Contact Owner
20-05-22,400,4600,3,1,2,Carpet Area,Kolkata,Fair,52,6,Semi-Furnished,47.3066,-122.371,Bachelors,Contact Owner
08-06-22,250,4700,5,3.5,0,Super Area,Kolkata,Excellent,92,7,Furnished,47.6763,-122.352,Bachelors/Family,Contact Owner
08-06-22,250,4700,4,2.5,1,Super Area,Kolkata,Fair,14,7,Furnished,47.5319,-121.85,Bachelors/Family,Contact Owner
01-07-22,250,4700,3,2.5,1,Super Area,Kolkata,Fair,4,8,Furnished,47.5517,-121.998,Bachelors/Family,Contact Owner
12-06-22,250,4700,3,1.5,0,Super Area,Kolkata,Good,42,7,Furnished,47.3025,-122.37,Bachelors/Family,Contact Owner
05-05-22,500,4700,4,2.25,2,Super Area,Bangalore,Fair,31,8,Unfurnished,47.6876,-122.049,Bachelors/Family,Contact Owner
24-06-22,850,4700,3,2.5,0,Super Area,Hyderabad,Bad,21,9,Unfurnished,47.7408,-122.169,Bachelors/Family,Contact Owner
27-04-22,200,4750,4,2,1,Carpet Area,Bangalore,Bad,41,7,Semi-Furnished,47.1985,-122.001,Bachelors/Family,Contact Owner
07-05-22,580,4800,4,1.5,0,Super Area,Bangalore,Bad,56,7,Semi-Furnished,47.428,-122.326,Bachelors/Family,Contact Owner
21-06-22,250,5000,3,1.5,2,Super Area,Kolkata,Bad,55,7,Unfurnished,47.4095,-122.315,Bachelors,Contact Agent
07-06-22,400,5000,2,1,1,Carpet Area,Kolkata,Good,76,7,Unfurnished,47.69,-122.292,Bachelors/Family,Contact Agent
29-06-22,500,5000,3,1,2,Carpet Area,Kolkata,Good,89,8,Unfurnished,47.6889,-122.375,Bachelors/Family,Contact Owner
26-06-22,600,5000,5,2.75,1,Super Area,Kolkata,Fair,4,9,Unfurnished,47.6848,-122.016,Bachelors/Family,Contact Owner
03-07-22,800,5000,3,1.75,0,Carpet Area,Kolkata,Good,68,7,Unfurnished,47.6808,-122.384,Bachelors/Family,Contact Owner
02-07-22,300,5000,3,2.25,0,Carpet Area,Kolkata,Good,59,8,Unfurnished,47.4336,-122.339,Bachelors,Contact Owner
02-07-22,300,5000,4,2.5,0,Carpet Area,Kolkata,Fair,29,10,Unfurnished,47.5815,-122.192,Bachelors/Family,Contact Owner
25-06-22,450,5000,3,1,0,Carpet Area,Kolkata,Fair,77,7,Semi-Furnished,47.5636,-122.394,Bachelors/Family,Contact Owner
23-05-22,300,5000,4,2.5,2,Carpet Area,Kolkata,Fair,72,7,Unfurnished,47.5873,-122.249,Bachelors/Family,Contact Owner
30-05-22,20,5000,3,3.5,1,Super Area,Kolkata,Fair,8,8,Unfurnished,47.6824,-122.347,Bachelors/Family,Contact Owner
23-06-22,400,5000,4,1.75,0,Carpet Area,Kolkata,Fair,50,7,Semi-Furnished,47.3309,-122.299,Bachelors/Family,Contact Owner
10-05-22,1000,5000,3,1,2,Carpet Area,Kolkata,Good,64,7,Unfurnished,47.3255,-122.304,Bachelors,Contact Owner
06-05-22,190,5000,3,1.75,0,Super Area,Kolkata,Fair,64,7,Semi-Furnished,47.4776,-122.337,Bachelors/Family,Contact Owner
26-06-22,392,5000,3,1,0,Super Area,Kolkata,Fair,70,7,Unfurnished,47.7481,-122.3,Bachelors/Family,Contact Owner
14-05-22,500,5000,3,1,0,Carpet Area,Kolkata,Good,56,6,Semi-Furnished,47.4787,-122.158,Bachelors/Family,Contact Owner
20-05-22,450,5000,4,1.75,0,Carpet Area,Kolkata,Good,52,9,Semi-Furnished,47.5378,-122.219,Bachelors/Family,Contact Owner
14-05-22,500,5000,3,1,0,Carpet Area,Kolkata,Fair,103,7,Semi-Furnished,47.5733,-122.381,Bachelors/Family,Contact Owner
27-05-22,500,5000,3,1.75,1,Carpet Area,Kolkata,Good,50,7,Semi-Furnished,47.3173,-122.319,Bachelors/Family,Contact Owner
24-06-22,450,5000,3,1.75,3,Carpet Area,Kolkata,Good,44,7,Unfurnished,47.4756,-122.147,Bachelors,Contact Owner
15-06-22,700,5000,4,2.75,1,Carpet Area,Kolkata,Fair,4,9,Unfurnished,47.7618,-122.261,Bachelors/Family,Contact Owner
24-04-22,350,5000,3,1.5,1,Carpet Area,Kolkata,Fair,55,7,Semi-Furnished,47.5586,-122.311,Bachelors/Family,Contact Owner
22-06-22,500,5000,2,1,0,Super Area,Kolkata,Good,102,7,Semi-Furnished,47.6638,-122.345,Bachelors/Family,Contact Owner
05-05-22,600,5000,5,2.75,1,Super Area,Kolkata,Fair,5,9,Unfurnished,47.6759,-122.151,Bachelors/Family,Contact Owner
01-06-22,420,5000,3,,0,Carpet Area,Kolkata,Fair,34,8,Unfurnished,47.5162,-122.057,Bachelors,Contact Owner
05-05-22,150,5000,5,2.5,1,Carpet Area,Kolkata,Good,40,9,Unfurnished,47.4769,-122.141,Bachelors/Family,Contact Owner
17-06-22,420,5000,5,2.5,0,Super Area,Kolkata,Good,52,8,Unfurnished,47.5651,-122.164,Bachelors,Contact Owner
07-06-22,350,5000,4,3,2,Carpet Area,Kolkata,Fair,32,7,Unfurnished,47.4888,-122.182,Bachelors,Contact Owner
10-05-22,322,5000,4,2,3,Carpet Area,Kolkata,Fair,58,7,Unfurnished,47.6831,-122.329,Bachelors/Family,Contact Agent
09-05-22,350,5000,3,2,1,Carpet Area,Kolkata,Good,35,7,Semi-Furnished,47.7591,-122.146,Bachelors/Family,Contact Owner
07-06-22,450,5000,3,3.5,1,Carpet Area,Kolkata,Fair,10,8,Unfurnished,47.6055,-122.305,Bachelors/Family,Contact Owner
13-05-22,300,5000,4,2.5,0,Carpet Area,Kolkata,Fair,24,7,Unfurnished,47.3845,-122.032,Bachelors,Contact Agent
22-05-22,550,5000,4,1.75,4,Carpet Area,Kolkata,Fair,54,7,Unfurnished,47.5753,-121.95,Bachelors,Contact Owner
23-06-22,400,5000,5,1.75,0,Carpet Area,Kolkata,Good,71,7,Semi-Furnished,47.4546,-122.337,Bachelors,Contact Owner
25-05-22,450,5000,4,3,2,Super Area,Kolkata,Fair,31,10,Unfurnished,47.7205,-122.127,Bachelors/Family,Contact Owner
26-05-22,400,5000,2,2,1,Carpet Area,Kolkata,Fair,18,8,Unfurnished,47.6776,-122.318,Bachelors,Contact Owner
03-07-22,450,5000,3,1.75,2,Carpet Area,Kolkata,Fair,41,8,Unfurnished,47.504,-122.382,Bachelors/Family,Contact Owner
08-05-22,300,5000,4,3.25,1,Super Area,Kolkata,Fair,25,9,Unfurnished,47.6179,-122.005,Bachelors/Family,Contact Owner
12-05-22,450,5000,2,1,0,Super Area,Kolkata,Good,72,7,Semi-Furnished,47.6454,-122.373,Bachelors/Family,Contact Owner
28-05-22,400,5000,5,3.5,0,Carpet Area,Kolkata,Good,28,9,Unfurnished,47.6554,-122.018,Bachelors/Family,Contact Agent
19-06-22,250,5000,4,3.25,1,Carpet Area,Kolkata,Fair,13,10,Unfurnished,47.4711,-122.084,Bachelors/Family,Contact Agent
12-06-22,500,5000,3,1,0,Super Area,Bangalore,Fair,76,7,Semi-Furnished,47.3058,-122.306,Bachelors/Family,Contact Owner
23-05-22,500,5000,4,2.25,1,Super Area,Bangalore,Fair,40,9,Semi-Furnished,47.753,-122.145,Family,Contact Owner
04-06-22,350,5000,4,2.5,1,Carpet Area,Bangalore,Fair,28,8,Unfurnished,47.2939,-122.368,Bachelors/Family,Contact Owner
10-05-22,600,5000,3,2.5,2,Super Area,Bangalore,Fair,31,9,Semi-Furnished,47.5613,-122.11,Bachelors/Family,Contact Owner
14-05-22,500,5000,4,2.5,2,Super Area,Bangalore,Fair,104,6,Unfurnished,47.4787,-122.23,Bachelors/Family,Contact Owner
23-05-22,144,5000,3,2.5,1,Super Area,Bangalore,Fair,19,8,Semi-Furnished,47.4913,-122.154,Bachelors/Family,Contact Owner
04-07-22,500,5000,4,3,1,Super Area,Bangalore,Excellent,59,8,Unfurnished,47.5854,-122.114,Bachelors/Family,Contact Owner
19-05-22,500,5000,4,2.5,0,Super Area,Bangalore,Fair,27,9,Furnished,47.5357,-122.179,Bachelors/Family,Contact Owner
14-05-22,400,5000,5,1.5,2,Super Area,Bangalore,Fair,54,7,Unfurnished,47.4882,-122.339,Bachelors/Family,Contact Owner
04-06-22,500,5000,2,1,0,Super Area,Bangalore,Fair,76,6,Unfurnished,47.7001,-122.362,Family,Contact Owner
10-05-22,500,5000,5,3.5,1,Super Area,Bangalore,Fair,50,7,Semi-Furnished,47.5833,-122.073,Bachelors/Family,Contact Owner
20-06-22,150,5000,4,4,0,Super Area,Bangalore,Fair,14,10,Unfurnished,47.5833,-121.97,Bachelors/Family,Contact Owner
23-05-22,400,5000,3,1.5,0,Super Area,Bangalore,Fair,64,7,Unfurnished,47.4267,-122.331,Bachelors/Family,Contact Owner
31-05-22,625,5000,4,1.75,1,Carpet Area,Bangalore,Good,64,7,Semi-Furnished,47.5674,-122.142,Bachelors/Family,Contact Owner
23-05-22,300,5000,5,1,0,Super Area,Bangalore,Fair,57,7,Unfurnished,47.4756,-122.294,Bachelors/Family,Contact Owner
18-05-22,25,5000,2,1,3,Carpet Area,Delhi,Good,65,7,Unfurnished,47.7218,-122.37,Bachelors/Family,Contact Owner
04-06-22,180,5000,4,2.5,1,Super Area,Delhi,Fair,101,9,Semi-Furnished,47.5875,-122.382,Bachelors/Family,Contact Owner
29-06-22,500,5000,3,2.75,1,Super Area,Delhi,Fair,14,9,Unfurnished,47.7497,-122.245,Bachelors/Family,Contact Owner
29-04-22,450,5000,3,2.25,0,Super Area,Delhi,Fair,38,7,Unfurnished,47.3995,-122.318,Bachelors/Family,Contact Owner
10-05-22,500,5000,2,0.75,0,Super Area,Delhi,Fair,104,7,Semi-Furnished,47.6707,-122.364,Bachelors/Family,Contact Owner
29-04-22,450,5000,3,1,1,Super Area,Delhi,Fair,71,7,Unfurnished,47.5049,-122.329,Bachelors/Family,Contact Owner
04-07-22,300,5000,3,2.75,1,Carpet Area,Delhi,Good,51,8,Semi-Furnished,47.7596,-122.117,Bachelors/Family,Contact Agent
04-05-22,550,5000,3,1,0,Carpet Area,Delhi,Good,71,7,Unfurnished,47.7309,-122.336,Bachelors/Family,Contact Owner
16-06-22,300,5000,3,2.25,1,Carpet Area,Delhi,Fair,33,10,Furnished,47.5647,-122.108,Bachelors,Contact Owner
24-05-22,550,5000,3,2.5,0,Super Area,Chennai,Fair,24,9,Unfurnished,47.668,-122.063,Bachelors/Family,Contact Owner
25-05-22,250,5000,4,1.75,1,Super Area,Chennai,Excellent,99,7,Unfurnished,47.5747,-122.384,Bachelors/Family,Contact Owner
18-06-22,350,5000,4,1,0,Super Area,Chennai,Fair,72,6,Unfurnished,47.566,-122.38,Bachelors/Family,Contact Owner
16-05-22,800,5000,4,3,1,Carpet Area,Chennai,Fair,110,8,Unfurnished,47.6786,-122.367,Bachelors/Family,Contact Owner
30-04-22,800,5000,3,1,0,Super Area,Chennai,Fair,49,8,Unfurnished,47.1986,-121.967,Family,Contact Owner
20-05-22,800,5000,4,1.75,2,Super Area,Chennai,Good,50,8,Unfurnished,47.454,-122.144,Bachelors/Family,Contact Owner
10-06-22,800,5000,4,2.5,0,Carpet Area,Chennai,Good,49,8,Unfurnished,47.5347,-122.227,Bachelors/Family,Contact Owner
06-07-22,550,5000,3,1.5,2,Super Area,Chennai,Fair,55,6,Unfurnished,47.3425,-122.082,Bachelors/Family,Contact Owner
29-06-22,550,5000,3,2.5,0,Carpet Area,Chennai,Fair,10,7,Unfurnished,47.6591,-122.392,Bachelors/Family,Contact Owner
10-06-22,450,5000,3,2,2,Super Area,Chennai,Good,27,7,Unfurnished,47.4036,-122.191,Bachelors/Family,Contact Owner
06-05-22,550,5000,3,2.5,2,Carpet Area,Chennai,Fair,14,8,Unfurnished,47.6963,-122.342,Bachelors/Family,Contact Owner
25-05-22,200,5000,3,1,2,Super Area,Chennai,Fair,64,7,Semi-Furnished,47.4743,-122.274,Bachelors/Family,Contact Owner
30-05-22,450,5000,4,2.75,2,Carpet Area,Chennai,Good,40,8,Unfurnished,47.7743,-122.286,Bachelors/Family,Contact Owner
16-05-22,400,5000,3,2,0,Super Area,Chennai,Good,28,7,Unfurnished,47.3143,-122.134,Bachelors/Family,Contact Owner
20-05-22,140,5000,3,1.5,1,Super Area,Hyderabad,Good,104,6,Unfurnished,47.7094,-122.228,Bachelors/Family,Contact Owner
18-06-22,600,5000,4,2.75,0,Super Area,Hyderabad,Fair,4,9,Unfurnished,47.554,-122.189,Bachelors/Family,Contact Owner
12-05-22,350,5000,4,2.25,0,Super Area,Hyderabad,Fair,57,7,Unfurnished,47.6909,-122.301,Bachelors/Family,Contact Owner
12-05-22,500,5000,3,2.25,2,Super Area,Hyderabad,Excellent,108,8,Unfurnished,47.6063,-122.292,Bachelors/Family,Contact Owner
12-05-22,650,5000,3,1,1,Super Area,Hyderabad,Good,114,6,Unfurnished,47.4917,-122.206,Family,Contact Owner
09-06-22,540,5000,4,2.5,0,Super Area,Hyderabad,Fair,15,7,Semi-Furnished,47.3666,-122.03,Bachelors/Family,Contact Owner
06-07-22,300,5000,4,1,0,Super Area,Hyderabad,Good,92,8,Unfurnished,47.5767,-122.378,Bachelors/Family,Contact Owner
06-07-22,450,5000,6,3,2,Super Area,Hyderabad,Fair,94,7,Unfurnished,47.7663,-122.234,Bachelors/Family,Contact Owner
28-06-22,500,5000,4,3,1,Carpet Area,Hyderabad,Fair,33,10,Furnished,47.7577,-122.134,Bachelors/Family,Contact Owner
17-05-22,800,5146,3,1,1,Super Area,Kolkata,Good,42,6,Unfurnished,47.362,-122.029,Bachelors/Family,Contact Owner
19-05-22,750,5200,4,2,3,Super Area,Kolkata,Excellent,98,7,Unfurnished,47.5511,-122.312,Bachelors/Family,Contact Owner
30-06-22,650,5200,4,2.25,1,Carpet Area,Kolkata,Fair,31,8,Unfurnished,47.7663,-122.215,Bachelors,Contact Owner
01-07-22,300,5200,4,2.5,1,Carpet Area,Kolkata,Fair,13,7,Unfurnished,47.3607,-122.034,Bachelors/Family,Contact Agent
05-06-22,220,5200,3,2.25,0,Super Area,Kolkata,Excellent,41,8,Unfurnished,47.7691,-122.262,Bachelors/Family,Contact Owner
20-05-22,250,5250,4,2.5,1,Super Area,Chennai,Fair,28,10,Unfurnished,47.6417,-121.992,Bachelors/Family,Contact Owner
18-06-22,355,5300,3,1.75,1,Carpet Area,Kolkata,Fair,103,8,Semi-Furnished,47.6386,-122.36,Bachelors/Family,Contact Agent
30-06-22,650,5300,4,1.75,0,Carpet Area,Kolkata,Good,63,7,Unfurnished,47.5278,-122.345,Bachelors/Family,Contact Owner
24-06-22,100,5300,3,1,0,Carpet Area,Hyderabad,Good,57,6,Semi-Furnished,47.285,-122.211,Bachelors/Family,Contact Owner
12-05-22,450,5400,4,2.5,0,Super Area,Hyderabad,Fair,10,8,Unfurnished,47.7494,-122.304,Bachelors/Family,Contact Owner
09-05-22,375,5500,3,1.75,1,Carpet Area,Kolkata,Good,41,7,Unfurnished,47.6127,-122.045,Bachelors/Family,Contact Agent
08-06-22,500,5500,4,1.75,0,Super Area,Kolkata,Fair,62,7,Unfurnished,47.6034,-122.125,Bachelors/Family,Contact Owner
11-06-22,280,5500,5,2,1,Super Area,Kolkata,Good,58,8,Unfurnished,47.3887,-122.286,Bachelors,Contact Owner
11-06-22,450,5500,3,2.5,1,Carpet Area,Kolkata,Fair,10,8,Furnished,47.6106,-122.31,Bachelors/Family,Contact Owner
26-05-22,400,5500,3,1,2,Carpet Area,Kolkata,Good,75,6,Unfurnished,47.5093,-122.184,Bachelors/Family,Contact Owner
06-05-22,1800,5500,3,3.5,2,Super Area,Kolkata,Fair,25,10,Unfurnished,47.7641,-122.023,Bachelors/Family,Contact Owner
05-05-22,500,5500,2,1,0,Carpet Area,Kolkata,Good,79,7,Unfurnished,47.7107,-122.352,Bachelors/Family,Contact Owner
30-05-22,650,5500,4,2.75,3,Carpet Area,Kolkata,Fair,53,9,Unfurnished,47.5603,-122.222,Bachelors/Family,Contact Owner
27-06-22,400,5500,3,2,0,Super Area,Kolkata,Fair,20,7,Unfurnished,47.3163,-122.188,Bachelors/Family,Contact Agent
03-06-22,450,5500,4,2,1,Carpet Area,Kolkata,Fair,47,7,Unfurnished,47.7245,-122.2,Bachelors/Family,Contact Owner
03-06-22,450,5500,3,2.5,1,Carpet Area,Kolkata,Fair,13,,Unfurnished,47.4362,-122.178,Bachelors/Family,Contact Owner
14-06-22,650,5500,3,2.5,0,Carpet Area,Kolkata,Fair,13,7,Unfurnished,47.4324,-122.197,Bachelors/Family,Contact Owner
09-05-22,800,5500,5,2.5,7,Super Area,Kolkata,Fair,35,10,Unfurnished,47.633,-122.041,Bachelors/Family,Contact Owner
19-06-22,450,5500,3,1,2,Carpet Area,Kolkata,Good,58,7,Unfurnished,47.3838,-122.289,Bachelors,Contact Owner
20-06-22,385,5500,5,2.5,1,Carpet Area,Mumbai,Excellent,108,9,Unfurnished,47.6364,-122.3,Family,Contact Agent
27-05-22,400,5500,5,2.75,1,Super Area,Bangalore,Good,51,8,Unfurnished,47.5943,-122.133,Bachelors/Family,Contact Owner
28-06-22,600,5500,3,2.5,1,Carpet Area,Bangalore,Fair,31,8,Unfurnished,47.7574,-122.228,Bachelors,Contact Owner
27-05-22,600,5500,2,1,0,Super Area,Bangalore,Fair,71,6,Unfurnished,47.7341,-122.3,Bachelors,Contact Owner
04-06-22,600,5500,3,1.75,2,Super Area,Bangalore,Good,67,7,Unfurnished,47.4608,-122.358,Bachelors/Family,Contact Owner
20-06-22,500,5500,4,2.5,1,Super Area,Bangalore,Fair,118,8,Furnished,47.6367,-122.318,Bachelors/Family,Contact Owner
23-05-22,600,5500,4,2.5,2,Super Area,Bangalore,Fair,20,8,Semi-Furnished,47.2634,-122.211,Bachelors/Family,Contact Owner
15-06-22,800,5500,2,2.5,2,Super Area,Bangalore,Good,31,8,Unfurnished,47.7034,-122.188,Bachelors/Family,Contact Owner
